inputVectorIndex,inputCode,xmlPath,label,categoricalValue,isActionable,isRelevant,units,decimals,displayPrecision,importanceRank,stdev
156,WEATHER_RELATIVE_HUMIDITY_MAX_01,WEATHER_RELATIVE_HUMIDITY_MAX_01,,,FALSE,FALSE,,,,,
157,WEATHER_RELATIVE_HUMIDITY_MAX_02,WEATHER_RELATIVE_HUMIDITY_MAX_02,,,FALSE,FALSE,,,,,
158,WEATHER_RELATIVE_HUMIDITY_MAX_03,WEATHER_RELATIVE_HUMIDITY_MAX_03,,,FALSE,FALSE,,,,,
159,WEATHER_RELATIVE_HUMIDITY_MAX_04,WEATHER_RELATIVE_HUMIDITY_MAX_04,,,FALSE,FALSE,,,,,
160,WEATHER_RELATIVE_HUMIDITY_MAX_05,WEATHER_RELATIVE_HUMIDITY_MAX_05,,,FALSE,FALSE,,,,,
161,WEATHER_RELATIVE_HUMIDITY_MAX_06,WEATHER_RELATIVE_HUMIDITY_MAX_06,,,FALSE,FALSE,,,,,
162,WEATHER_RELATIVE_HUMIDITY_MAX_07,WEATHER_RELATIVE_HUMIDITY_MAX_07,,,FALSE,FALSE,,,,,
163,WEATHER_RELATIVE_HUMIDITY_MAX_08,WEATHER_RELATIVE_HUMIDITY_MAX_08,,,FALSE,FALSE,,,,,
164,WEATHER_RELATIVE_HUMIDITY_MAX_09,WEATHER_RELATIVE_HUMIDITY_MAX_09,,,FALSE,FALSE,,,,,
165,WEATHER_RELATIVE_HUMIDITY_MAX_10,WEATHER_RELATIVE_HUMIDITY_MAX_10,,,FALSE,FALSE,,,,,
166,WEATHER_RELATIVE_HUMIDITY_MAX_11,WEATHER_RELATIVE_HUMIDITY_MAX_11,,,FALSE,FALSE,,,,,
167,WEATHER_RELATIVE_HUMIDITY_MAX_12,WEATHER_RELATIVE_HUMIDITY_MAX_12,,,FALSE,FALSE,,,,,
168,WEATHER_RELATIVE_HUMIDITY_MIN_01,WEATHER_RELATIVE_HUMIDITY_MIN_01,,,FALSE,FALSE,,,,,
169,WEATHER_RELATIVE_HUMIDITY_MIN_02,WEATHER_RELATIVE_HUMIDITY_MIN_02,,,FALSE,FALSE,,,,,
170,WEATHER_RELATIVE_HUMIDITY_MIN_03,WEATHER_RELATIVE_HUMIDITY_MIN_03,,,FALSE,FALSE,,,,,
171,WEATHER_RELATIVE_HUMIDITY_MIN_04,WEATHER_RELATIVE_HUMIDITY_MIN_04,,,FALSE,FALSE,,,,,
172,WEATHER_RELATIVE_HUMIDITY_MIN_05,WEATHER_RELATIVE_HUMIDITY_MIN_05,,,FALSE,FALSE,,,,,
173,WEATHER_RELATIVE_HUMIDITY_MIN_06,WEATHER_RELATIVE_HUMIDITY_MIN_06,,,FALSE,FALSE,,,,,
174,WEATHER_RELATIVE_HUMIDITY_MIN_07,WEATHER_RELATIVE_HUMIDITY_MIN_07,,,FALSE,FALSE,,,,,
